   Phụ lục I\nHIỆU QUẢ KINH DOANH \n(Kèm theo tờ trình số:                ngày    tháng    năm 2026)                                Unnamed: 1                  Unnamed: 2  Unnamed: 3       Unnamed: 4 Unnamed: 5       Unnamed: 6                             Unnamed: 7       Unnamed: 8 Unnamed: 9      Unnamed: 10       Unnamed: 11             Unnamed: 12
0       STT                                                                                                                  NỘI DUNG ĐÁNH GIÁ           Dịch vụ FO - CSKH         NaN              NaN        NaN              NaN  Dịch vụ thiết lập và vận hành dịch vụ              NaN        NaN              NaN        Toàn dự án                     NaN
1                                                                                                NaN                                       NaN                 Đơn vị tính         NaN          Đơn giá   Số lượng       Thành tiền                            Đơn vị tính          Đơn giá   Số lượng       Thành tiền        Thành tiền                     NaN
2                                                                                                NaN                                   Giá bán                        seat         NaN      14712865.05   6.615385       97331261.1                                    Gói         35000000          1         35000000       132331261.1                     NaN
3                                                                                                  I                TỔNG CHI PHÍ CÁC LOẠI SEAT                        seat         NaN  14036063.942126   6.615385  92853961.463296                                   seat  14036063.942126          2  28072127.884252  120926089.347548                     NaN
4                                                                                                  1                 Chi phí đích danh cho ĐTV                         NaN         NaN  12667155.266724   6.615385  83798104.072173                                    NaN  12667155.266724          2  25334310.533448   109132414.60562                     NaN
5                                                                                                1.1     Chi phí nhân công (đích danh cho ĐTV)                        seat         NaN         11587000   6.615385  76652461.538462                                   seat         11587000          2         23174000   99826461.538462                     NaN
6                                                                                                1.2    Chi phí Lương nhân sự trực tiếp hỗ trợ                        seat         NaN    770155.266724   6.615385   5094873.302942                                   seat    770155.266724          2   1540310.533448     6635183.83639                     NaN
7                                                                                                1.3                    Chi phí hệ thống, CNTT                        seat         NaN           310000   6.615385   2050769.230769                                   seat           310000          4          1240000    3290769.230769  Sử dụng omnix không AI
8                                                                                                1.4          Chi phí VP- Hành chính đích danh                        seat         NaN              NaN        NaN                0                                   seat              NaN        NaN                0                 0                     NaN
9                                                                                                1.5                          Chi phí khấu hao                        seat         NaN              NaN        NaN                0                                   seat              NaN        NaN                0                 0                     NaN
10                                                                                                 2                          Chi phí Bán hàng                         NaN    0.011989    151871.309423   6.615385   1004687.123874                                    NaN    151871.309423          2    336567.345256    1449828.564179                     NaN
11                                                                                               2.1  Chi phí quảng cáo truyền thông, tài trợ                         seat    0.007712     97690.841998   6.615385    646262.493215                                   seat     97690.841998          2    216496.107605     932598.617377                     NaN
12                                                                                               2.2               Chi phí Chăm sóc Khách hàng                        seat    0.004277     54180.467425   6.615385    358424.630659                                   seat     54180.467425          2    120071.237651     517229.946802                     NaN
13                                                                                                 3           Chi phí quản lý Cty cần phân bổ                         NaN    0.085539   1083530.496154   6.615385   7167970.974554                                    NaN   1083530.496154          2   2401250.005549   10343846.177749                     NaN
14                                                                                               3.1                Chi phí Lương khối quản lý                        seat    0.052510    665148.517633   6.615385   4400213.270498                                   seat    665148.517633          2   1474059.001872    6349792.623449                     NaN
15                                                                                               3.2                    Chi phí hệ thống, CNTT                        seat    0.001080      13682.27809   6.615385     90513.531982                                   seat      13682.27809          2     30321.777243     130616.886585                     NaN
16                                                                                               3.3                   Chi phí VP- Hành chính                         seat    0.031012    392834.692346   6.615385   2598752.580136                                   seat    392834.692346          2    870574.765108    3750168.218926                     NaN
17                                                                                               3.4              Chung và thương xuyên (CCDC)                        seat         NaN                0        NaN                0                                   seat                0        NaN                0                 0                     NaN
18                                                                                               3.5                          Chi phí khấu hao                        seat    0.000937     11865.008084   6.615385     78491.591938                                   seat     11865.008084          2     26294.461326     113268.448789                     NaN
19                                                                                               III                                  Hiệu quả                         NaN         NaN              NaN        NaN              NaN                                    NaN              NaN        NaN              NaN                 0                     NaN
20                                                                                                 1                                 Lợi nhuận                         NaN         NaN              NaN        NaN   4477299.636704                                    NaN              NaN        NaN   6927872.115748   11405171.752452                     NaN
21                                                                                                 2                       Tỷ lệ LNST/ Chi phí                         NaN         NaN              NaN        NaN          0.05343                                    NaN              NaN        NaN         0.273458          0.104508                     NaN
22                                                                                                 3                     Tỷ lệ LNST/ Doanh thu                         NaN         NaN              NaN        NaN         0.048219                                    NaN              NaN        NaN         0.246788          0.094315                     NaN
23                                                                                               NaN                                       NaN                         NaN         NaN              NaN        NaN              NaN                                    NaN              NaN        NaN              NaN               NaN                     NaN
24                                                                                               NaN                                       NaN                         NaN         NaN              NaN        NaN              NaN                                    NaN              NaN        NaN              NaN               NaN                     NaN
25                                                                                               STT                         Nội dung đánh giá  Thành tiền trước VAT (VND)         NaN              NaN        NaN              NaN                                    NaN              NaN        NaN              NaN               NaN                     NaN
26                                                                                                 I                            Tổng doanh thu                 132331261.1         NaN              NaN        NaN              NaN                                    NaN              NaN        NaN              NaN               NaN                     NaN
27                                                                                                II                              Tổng chi phí            120926089.347548         NaN              NaN        NaN              NaN                                    NaN              NaN        NaN              NaN               NaN                     NaN
28                                                                                               III                                  Hiệu quả                         NaN         NaN              NaN        NaN              NaN                                    NaN              NaN        NaN              NaN               NaN                     NaN
29                                                                                                 1                                 Lợi nhuận             11405171.752452         NaN              NaN        NaN              NaN                                    NaN              NaN        NaN              NaN               NaN                     NaN
30                                                                                                 3                  Tỷ lệ lợi nhuận/ Chi phí                           0         NaN              NaN        NaN              NaN                                    NaN              NaN        NaN              NaN               NaN                     NaN
31                                                                                                 4                Tỷ lệ lợi nhuận/ Doanh thu                         NaN         NaN              NaN        NaN              NaN                                    NaN              NaN        NaN              NaN               NaN                     NaN
